Rk,Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A
97,2022,1/1/2023,27.106,29,42,69.05,328,3,1,106.1,0,0,7.81,8.17
98,2022,1/7/2023,27.112,18,26,69.23,202,1,0,105,2,21,7.77,8.54
99,2023,9/7/2023,27.355,21,39,53.85,226,2,1,77.5,0,0,5.79,5.67
100,2023,9/17/2023,28,29,41,70.73,305,2,1,98.1,1,7,7.44,7.32
101,2023,9/24/2023,28.007,24,33,72.73,272,3,0,127.3,0,0,8.24,10.06
102,2023,10/1/2023,28.014,18,30,60,203,1,2,63.6,1,6,6.77,4.43
103,2023,10/8/2023,28.021,31,41,75.61,281,2,0,109.9,2,15,6.85,7.83
104,2023,10/12/2023,28.025,30,40,75,306,1,1,94.4,2,13,7.65,7.03
105,2023,10/22/2023,28.035,32,42,76.19,424,4,1,129.5,1,9,10.1,10.93
106,2023,10/29/2023,28.042,24,38,63.16,240,0,2,59.1,3,28,6.32,3.95
107,2023,11/5/2023,28.049,20,30,66.67,185,2,0,105.6,2,11,6.17,7.5
108,2023,11/20/2023,28.064,24,43,55.81,177,2,1,71.6,1,9,4.12,4
109,2023,11/26/2023,28.07,27,34,79.41,298,2,0,122.8,1,7,8.76,9.94
110,2023,12/3/2023,28.077,21,33,63.64,210,1,1,79.1,3,21,6.36,5.61
111,2023,12/10/2023,28.084,25,43,58.14,271,1,1,74.9,1,7,6.3,5.72
112,2023,12/17/2023,28.091,27,37,72.97,305,2,2,92.7,3,26,8.24,6.89
113,2023,12/25/2023,28.099,27,44,61.36,235,1,1,73.6,4,23,5.34,4.77
114,2023,12/31/2023,28.105,21,29,72.41,245,1,0,109.1,2,4,8.45,9.14
115,2023,1/7/2024,,,,,,,,,,,,
